Rank,Album,Artist,Link,No_1_hits,Top_10_hits,Songs
1,21,Adele,https://www.billboard.com/music/adele,4.0,6.0,13.0
2,The Sound Of Music,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
3,Thriller,Michael Jackson,https://www.billboard.com/music/michael-jackson,13.0,29.0,50.0
4,Fearless,Taylor Swift,https://www.billboard.com/music/taylor-swift,5.0,22.0,75.0
5,Born In The U.S.A.,Bruce Springsteen,https://www.billboard.com/music/bruce-springsteen,NA,NA,NA
6,Ropin' The Wind,Garth Brooks,https://www.billboard.com/music/garth-brooks,1.0,8.0,NA
7,Jagged Little Pill,Alanis Morissette,https://www.billboard.com/music/alanis-morissette,2.0,6.0,NA
8,Doctor Zhivago,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
9,All The Right Reasons,Nickelback,https://www.billboard.com/music/nickelback,1.0,6.0,19.0
10,Tapestry,Carole King,https://www.billboard.com/music/carole-king,1.0,4.0,15.0
11,Whitney Houston,Whitney Houston,https://www.billboard.com/music/whitney-houston,11.0,23.0,39.0
12,The Fame,Lady Gaga,https://www.billboard.com/music/lady-gaga,3.0,14.0,26.0
13,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,https://www.billboard.com/music/herb-alperts-tijuana-brass,NA,NA,NA
14,Come On Over,Shania Twain,https://www.billboard.com/music/shania-twain,3.0,18.0,NA
15,Rumours,Fleetwood Mac,https://www.billboard.com/music/fleetwood-mac,1.0,9.0,25.0
16,Confessions,Usher,https://www.billboard.com/music/usher,9.0,18.0,50.0
17,Frozen,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
18,Taylor Swift,Taylor Swift,https://www.billboard.com/music/taylor-swift,5.0,22.0,75.0
19,Forever Your Girl,Paula Abdul,https://www.billboard.com/music/paula-abdul,6.0,8.0,15.0
20,Some Gave All,Billy Ray Cyrus,https://www.billboard.com/music/billy-ray-cyrus,1.0,10.0,NA
21,Falling Into You,Celine Dion,https://www.billboard.com/music/celine-dion,4.0,10.0,21.0
22,Some Hearts,Carrie Underwood,https://www.billboard.com/music/carrie-underwood,1.0,4.0,32.0
23,The Bodyguard,Whitney Houston,https://www.billboard.com/music/whitney-houston,11.0,23.0,39.0
24,Please Hammer Don't Hurt 'Em,M.C. Hammer,https://www.billboard.com/music/m.c.-hammer,5.0,10.0,NA
25,Hysteria,Def Leppard,https://www.billboard.com/music/def-leppard,1.0,4.0,19.0
26,Come Away With Me,Norah Jones,https://www.billboard.com/music/norah-jones,2.0,NA,NA
27,Daughtry,Daughtry,https://www.billboard.com/music/daughtry,2.0,12.0,NA
28,[Hybrid Theory],Linkin Park,https://www.billboard.com/music/linkin-park,3.0,23.0,NA
29,No Fences,Garth Brooks,https://www.billboard.com/music/garth-brooks,1.0,8.0,NA
30,Cracked Rear View,Hootie & The Blowfish,https://www.billboard.com/music/hootie-the-blowfish,3.0,6.0,NA
31,The Dark Side Of The Moon,Pink Floyd,https://www.billboard.com/music/pink-floyd,1.0,1.0,5.0
32,Fallen,Evanescence,https://www.billboard.com/music/evanescence,3.0,5.0,NA
33,Slippery When Wet,Bon Jovi,https://www.billboard.com/music/bon-jovi,4.0,10.0,25.0
34,Human Clay,Creed,https://www.billboard.com/music/creed,1.0,4.0,7.0
35,Mary Poppins,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
36,Supernatural,Santana,https://www.billboard.com/music/santana,2.0,6.0,24.0
37,Night Visions,Imagine Dragons,https://www.billboard.com/music/imagine-dragons,4.0,12.0,NA
38,Frampton Comes Alive,Peter Frampton,https://www.billboard.com/music/peter-frampton,3.0,8.0,NA
39,Goodbye Yellow Brick Road,Elton John,https://www.billboard.com/music/elton-john,9.0,27.0,67.0
40,Metallica,Metallica,https://www.billboard.com/music/metallica,1.0,16.0,NA
41,...Baby One More Time,Britney Spears,https://www.billboard.com/music/britney-spears,5.0,13.0,35.0
42,Backstreet Boys,Backstreet Boys,https://www.billboard.com/music/backstreet-boys,6.0,17.0,NA
43,Saturday Night Fever,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
44,Going Places,Michael Henderson,https://www.billboard.com/music/michael-henderson,1.0,NA,NA
45,Ten,Pearl Jam,https://www.billboard.com/music/pearl-jam,2.0,14.0,NA
46,4,Foreigner,https://www.billboard.com/music/foreigner,1.0,9.0,22.0
47,Escape,Journey,https://www.billboard.com/music/journey,6.0,25.0,NA
48,Can't Slow Down,Lionel Richie,https://www.billboard.com/music/lionel-richie,5.0,13.0,20.0
49,Spice,Spice Girls,https://www.billboard.com/music/spice-girls,1.0,4.0,8.0
50,Mariah Carey,Mariah Carey,https://www.billboard.com/music/mariah-carey,18.0,27.0,48.0
51,High School Musical,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
52,The Emancipation Of Mimi,Mariah Carey,https://www.billboard.com/music/mariah-carey,18.0,27.0,48.0
53,"Blood, Sweat & Tears","Blood, Sweat & Tears",https://www.billboard.com/music/blood-sweat-tears,3.0,10.0,NA
54,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,https://www.billboard.com/music/the-beatles,20.0,34.0,71.0
55,Unorthodox Jukebox,Bruno Mars,https://www.billboard.com/music/bruno-mars,7.0,14.0,21.0
56,The Eminem Show,Eminem,https://www.billboard.com/music/eminem,5.0,17.0,57.0
57,"Time, Love And Tenderness",Michael Bolton,https://www.billboard.com/music/michael-bolton,2.0,7.0,19.0
58,Let Go,Avril Lavigne,https://www.billboard.com/music/avril-lavigne,1.0,5.0,19.0
59,Jesus Christ Superstar,Various Artists,https://www.billboard.com/music/various-artists,4.0,NA,NA
60,Dirty Dancing,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
61,II,Boyz II Men,https://www.billboard.com/music/boyz-ii-men,5.0,10.0,18.0
62,In-A-Gadda-Da-Vida,Iron Butterfly,https://www.billboard.com/music/iron-butterfly,4.0,NA,NA
63,Rock N Roll Jesus,Kid Rock,https://www.billboard.com/music/kid-rock,1.0,6.0,NA
64,1989,Taylor Swift,https://www.billboard.com/music/taylor-swift,5.0,22.0,75.0
65,Appetite For Destruction,Guns N' Roses,https://www.billboard.com/music/guns-n-roses,1.0,6.0,13.0
66,Hi Infidelity,REO Speedwagon,https://www.billboard.com/music/reo-speedwagon,2.0,4.0,18.0
67,Tragic Kingdom,No Doubt,https://www.billboard.com/music/no-doubt,3.0,8.0,NA
68,Need You Now,Lady Antebellum,https://www.billboard.com/music/lady-antebellum,2.0,18.0,NA
69,Breakfast In America,Supertramp,https://www.billboard.com/music/supertramp,2.0,10.0,NA
